,Src Zone,Src Address,Dst Zone,Dst Address,Service,App,URL,Action,Last Matched (days ago),사용우무
90,untrust,10.168.89.109,trust,192.168.204.244,tcp_8181,,,permit,259.0,
91,,10.168.89.88-91,,,,,,,,
92,,10.168.89.108,,,,,,,,
93,untrust,192.168.47.148,trust,192.168.254.34,tcp-445,,,permit,526.0,
94,,192.168.47.149,,192.168.254.35,,,,,,
95,untrust,192.168.128.106,trust,192.168.128.230,tcp_1433,,,permit,308.0,
96,untrust,10.168.7.190,trust,192.168.128.242,tcp_8081,,,permit,486.0,
97,,10.168.7.239-247,,,,,,,,
98,untrust,192.168.230.26,trust,192.168.204.232,tcp_8281,,,permit,289.0,
99,,192.168.230.62,,,,,,,,
100,untrust,192.168.158.71,trust,192.168.204.232,tcp_8081-8082,,,permit,246.0,
101,,192.168.158.64-69,,,,,,,,
102,,192.168.158.72,,,,,,,,
103,untrust,192.168.154.111,trust,192.168.128.242,tcp_8081,,,permit,434.0,
104,,192.168.154.112,,,,,,,,
105,,192.168.154.99,,,,,,,,
106,,192.168.154.101-108,,,,,,,,
107,,192.168.154.98,,,,,,,,
108,untrust,192.168.52.108/31,trust,10.169.9.229,tcp_389,,,permit,506.0,
109,,,,10.169.9.228,,,,,,
110,untrust,10.168.243.213,trust,10.169.198.9,tcp_3306,,,permit,526.0,
111,untrust,10.246.228.0/24,trust,192.168.45.230/31,tcp_25,,,permit,,
112,,10.246.227.0/24,,,,,,,,
113,,10.246.232.0/24,,,,,,,,
114,,10.246.231.0/24,,,,,,,,
115,,10.246.235.128/25,,,,,,,,
116,,10.246.230.0/24,,,,,,,,
117,,10.246.236.0/24,,,,,,,,
118,,10.246.229.0/24,,,,,,,,
119,,10.246.237.0/24,,,,,,,,
120,,10.246.235.0/25,,,,,,,,
121,,10.246.234.128/25,,,,,,,,
122,,10.246.234.0/25,,,,,,,,
123,,10.246.224.32/27,,,,,,,,
124,,10.246.233.0/24,,,,,,,,
125,,10.246.224.0/27,,,,,,,,
126,,10.246.226.0/24,,,,,,,,
127,untrust,10.168.89.168-10.168.89.171,trust,192.168.45.80,tcp_139,,,permit,,
128,,10.168.89.160,,,,,,,,
129,,10.168.89.164,,,,,,,,
130,untrust,10.168.243.137,trust,10.169.198.9,tcp_3306,,,permit,231.0,
131,untrust,10.244.254.169,trust,10.169.198.56,tcp_3306,,,permit,212.0,
132,untrust,10.244.254.169,trust,10.169.198.55,tcp_3306,,,permit,212.0,
133,untrust,10.244.254.169,trust,10.169.198.30,tcp_3306,,,permit,212.0,
134,untrust,192.168.182.19,trust,10.169.198.7,tcp_22,,,permit,401.0,
135,untrust,192.168.182.20,trust,10.169.198.7,tcp_22,,,permit,401.0,
136,untrust,192.168.182.17,trust,10.169.198.7,tcp_22,,,permit,,
137,untrust,192.168.182.21,trust,10.169.198.7,tcp_22,,,permit,388.0,
138,untrust,192.168.182.22,trust,10.169.198.7,tcp_22,,,permit,388.0,
139,untrust,10.84.84.61,trust,192.168.223.119,tcp_3200,,,permit,366.0,
140,untrust,10.84.84.62,trust,192.168.223.119,tcp_3200,,,permit,,
141,untrust,10.84.84.66,trust,192.168.223.119,tcp_3200,,,permit,370.0,
142,untrust,192.168.152.70,trust,192.168.128.230-192.168.128.233,tcp_1433,,,permit,,
143,untrust,192.168.152.70,trust,192.168.128.226,tcp_12312,,,permit,267.0,
144,untrust,10.246.4.78,trust,192.168.128.231,tcp_1433,,,permit,,
145,untrust,10.168.240.15,trust,10.169.198.8/31,tcp_22,,,permit,475.0,
146,untrust,10.168.240.15,trust,10.169.198.8/31,tcp_3306,,,permit,475.0,
