,obs_post_id,obs_lat,data_type,obs_post_name,obs_lon,obs_object
80,TW_0088,35.052805,해양관측부이,감천항,129.003083,"수온,유속,유향"
81,TW_0085,35.103194,해양관측부이,마산항,128.631833,"수온,유속,유향"
82,TW_0091,38.1225,해양관측부이,낙산해수욕장,128.650556,"수온,기온,기압,풍속,풍향,파고,유속,유향"
83,TW_0086,35.043777,해양관측부이,부산항신항,128.76175,"수온,유속,유향"
84,SF_0005,35.984166,해양관측부이,군산항,126.50875,"수온,유속,유향"
85,TW_0093,38.198611,해양관측부이,속초해수욕장,128.631389,"수온,기온,기압,풍속,풍향,파고"
86,TW_0094,37.593666,해양관측부이,망상해수욕장,129.090091,"수온,기온,기압,풍속,풍향,파고,유속,유향"
87,KG_0021,32.090416,해양관측부이,제주남부,126.965861,"수온,유속,유향"
88,KG_0024,34.919,해양관측부이,대한해협,129.12125,"수온,기온,기압,풍속,풍향,파고,유속,유향"
89,KG_0025,34.222472,해양관측부이,남해동부,128.419027,"수온,기온,기압,풍속,풍향,파고,유속,유향"
90,KG_0028,33.7001111111111,해양관측부이,제주해협,126.5905,실시간제공데이터 항목 없음
91,KG_0101,38.007361,해양관측부이,울릉도북동,131.552583,"수온,기온,기압,풍속,풍향,파고,유속,유향"
92,KG_0102,37.742722,해양관측부이,울릉도북서,130.601194,실시간제공데이터 항목 없음
